"poule","game","date","team1","score1","score2","team2","venue","wk","host"
"Quarter-finals",27,"1958-06-19","Brazil",1,0,"Wales","Ullevi, Gothenburg",1958,"Sweden"
"Quarter-finals",28,"1958-06-19","West_Germany",1,0,"Yugoslavia","Malmö Stadion, Malmö",1958,"Sweden"
"Semi-finals",29,"1958-06-24","France",2,5,"Brazil","Råsunda Stadium, Solna",1958,"Sweden"
"Semi-finals",30,"1958-06-24","West_Germany",1,3,"Sweden","Ullevi, Gothenburg",1958,"Sweden"
"Semi-finals",31,"1958-06-28","West_Germany",3,6,"France","Ullevi, Gothenburg",1958,"Sweden"
"Final",32,"1958-06-29","Sweden",2,5,"Brazil","Råsunda Stadium, Solna",1958,"Sweden"
"1",1,"1962-05-30","Uruguay",2,1,"Colombia","Estadio Carlos Dittborn, Arica",1962,"Chile"
"1",5,"1962-05-31","Soviet_Union",2,0,"Yugoslavia","Estadio Carlos Dittborn, Arica",1962,"Chile"
"1",9,"1962-06-02","Yugoslavia",3,1,"Uruguay","Estadio Carlos Dittborn, Arica",1962,"Chile"
"1",13,"1962-06-03","Soviet_Union",4,4,"Colombia","Estadio Carlos Dittborn, Arica",1962,"Chile"
"1",17,"1962-06-06","Soviet_Union",2,1,"Uruguay","Estadio Carlos Dittborn, Arica",1962,"Chile"
"1",21,"1962-06-07","Yugoslavia",5,0,"Colombia","Estadio Carlos Dittborn, Arica",1962,"Chile"
"2",2,"1962-05-30","Chile",3,1,"Switzerland","Estadio Nacional, Santiago",1962,"Chile"
"2",6,"1962-05-31","West_Germany",0,0,"Italy","Estadio Nacional, Santiago",1962,"Chile"
"2",10,"1962-06-02","Chile",2,0,"Italy","Estadio Nacional, Santiago",1962,"Chile"
"2",14,"1962-06-03","West_Germany",2,1,"Switzerland","Estadio Nacional, Santiago",1962,"Chile"
"2",18,"1962-06-06","West_Germany",2,0,"Chile","Estadio Nacional, Santiago",1962,"Chile"
"2",22,"1962-06-07","Italy",3,0,"Switzerland","Estadio Nacional, Santiago",1962,"Chile"
"3",3,"1962-05-30","Brazil",2,0,"Mexico","Estadio Sausalito, Viña del Mar",1962,"Chile"
"3",7,"1962-05-31","Czechoslovakia",1,0,"Spain","Estadio Sausalito, Viña del Mar",1962,"Chile"
"3",11,"1962-06-02","Brazil",0,0,"Czechoslovakia","Estadio Sausalito, Viña del Mar",1962,"Chile"
"3",15,"1962-06-03","Spain",1,0,"Mexico","Estadio Sausalito, Viña del Mar",1962,"Chile"
"3",19,"1962-06-06","Brazil",2,1,"Spain","Estadio Sausalito, Viña del Mar",1962,"Chile"
"3",23,"1962-06-07","Mexico",3,1,"Czechoslovakia","Estadio Sausalito, Viña del Mar",1962,"Chile"
"4",4,"1962-05-30","Argentina",1,0,"Bulgaria","Estadio El Teniente, Rancagua",1962,"Chile"
"4",8,"1962-05-31","Hungary",2,1,"England","Estadio El Teniente, Rancagua",1962,"Chile"
"4",12,"1962-06-02","England",3,1,"Argentina","Estadio El Teniente, Rancagua",1962,"Chile"
"4",16,"1962-06-03","Hungary",6,1,"Bulgaria","Estadio El Teniente, Rancagua",1962,"Chile"
"4",20,"1962-06-06","Hungary",0,0,"Argentina","Estadio El Teniente, Rancagua",1962,"Chile"
"4",24,"1962-06-07","England",0,0,"Bulgaria","Estadio El Teniente, Rancagua",1962,"Chile"
"Quarter-finals",25,"1962-06-10","Chile",2,1,"Soviet_Union","Estadio Carlos Dittborn, Arica",1962,"Chile"
"Quarter-finals",26,"1962-06-10","Yugoslavia",1,0,"West_Germany","Estadio Nacional, Santiago",1962,"Chile"
"Quarter-finals",27,"1962-06-10","Brazil",3,1,"England","Estadio Sausalito, Viña del Mar",1962,"Chile"
"Quarter-finals",28,"1962-06-10","Czechoslovakia",1,0,"Hungary","Estadio El Teniente, Rancagua",1962,"Chile"
"Semi-finals",29,"1962-06-13","Brazil",4,2,"Chile","Estadio Nacional, Santiago",1962,"Chile"
"Semi-finals",30,"1962-06-13","Czechoslovakia",3,1,"Yugoslavia","Estadio Sausalito, Viña del Mar",1962,"Chile"
"Semi-finals",31,"1962-06-16","Chile",1,0,"Yugoslavia","Estadio Nacional, Santiago",1962,"Chile"
"Final",32,"1962-06-17","Brazil",3,1,"Czechoslovakia","Estadio Nacional, Santiago",1962,"Chile"
"1",1,"1966-07-11","England",0,0,"Uruguay","Wembley Stadium, London",1966,"England"
"1",5,"1966-07-13","France",1,1,"Mexico","Wembley Stadium, London",1966,"England"
"1",9,"1966-07-15","Uruguay",2,1,"France","White City Stadium, London",1966,"England"
"1",13,"1966-07-16","England",2,0,"Mexico","Wembley Stadium, London",1966,"England"
"1",17,"1966-07-19","Mexico",0,0,"Uruguay","Wembley Stadium, London",1966,"England"
"1",21,"1966-07-20","England",2,0,"France","Wembley Stadium, London",1966,"England"
"2",2,"1966-07-12","West_Germany",5,0,"Switzerland","Hillsborough Stadium, Sheffield",1966,"England"
"2",6,"1966-07-13","Argentina",2,1,"Spain","Villa Park, Birmingham",1966,"England"
"2",10,"1966-07-15","Spain",2,1,"Switzerland","Hillsborough Stadium, Sheffield",1966,"England"
"2",14,"1966-07-16","Argentina",0,0,"West_Germany","Villa Park, Birmingham",1966,"England"
"2",18,"1966-07-19","Argentina",2,0,"Switzerland","Hillsborough Stadium, Sheffield",1966,"England"
"2",22,"1966-07-20","West_Germany",2,1,"Spain","Villa Park, Birmingham",1966,"England"
"3",3,"1966-07-12","Brazil",2,0,"Bulgaria","Goodison Park, Liverpool",1966,"England"
"3",7,"1966-07-13","Portugal",3,1,"Hungary","Old Trafford, Manchester",1966,"England"
"3",11,"1966-07-15","Hungary",3,1,"Brazil","Goodison Park, Liverpool",1966,"England"
"3",15,"1966-07-16","Portugal",3,0,"Bulgaria","Old Trafford, Manchester",1966,"England"
"3",19,"1966-07-19","Portugal",3,1,"Brazil","Goodison Park, Liverpool",1966,"England"
"3",23,"1966-07-20","Hungary",3,1,"Bulgaria","Old Trafford, Manchester",1966,"England"
"4",4,"1966-07-12","Soviet_Union",3,0,"North_Korea","Ayresome Park, Middlesbrough",1966,"England"
